"","Name","DIY","Buy","Sell","Color1","Color 2","Size","Miles Price","Source","Source Notes","Version","Villager Equippable","Catalog","Filename","Internal ID","Unique Entry ID"
"1","bat umbrella","No","840",210,"Black","Black","1x1",NA,"Nook's Cranny",NA,"1.0.0","Yes","For sale","UmbrellaBat0",6919,"EZnRx49foq3M36yQ4"
"2","beach umbrella","No","770",192,"Blue","White","1x1",NA,"Nook's Cranny",NA,"1.0.0","Yes","For sale","UmbrellaBeach0",9957,"3SSFuv6LiH63jych3"
"3","bear umbrella","No","1570",392,"Brown","Beige","1x1",NA,"Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","Yes","For sale","UmbrellaBear0",7167,"s7KoPpysn27AeC5zi"
"4","black chic umbrella","No","1620",405,"Black","Black","1x1",NA,"Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","Yes","For sale","UmbrellaPacodarace5",12137,"p8yg9xiFwPscNDJNg"
"5","black lace umbrella","No","750",187,"Black","White","1x1",NA,"Nook's Cranny",NA,"1.0.0","Yes","For sale","UmbrellaRace0",6915,"7vuSb5AutpNQA573q"
"6","camo umbrella","No","650",162,"Green","Beige","1x1",NA,"Nook's Cranny",NA,"1.0.0","Yes","For sale","UmbrellaOutdoor0",6923,"RJYB5itM7mDdtWHpv"
"7","exquisite parasol","No","1670",417,"Yellow","Pink","1x1",NA,"Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","Yes","For sale","UmbrellaChina0",7171,"tFFuizXunsrHcMbEj"
"8","fairy-tale umbrella","No","820",205,"Green","Yellow","1x1",NA,"Nook's Cranny",NA,"1.0.0","Yes","For sale","UmbrellaFairytale0",7175,"xKBGNFJd2qpWeDWjo"
"9","grape umbrella","No","1550",387,"Purple","Green","1x1",NA,"Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","Yes","For sale","UmbrellaGrape0",6911,"TJ9cw4XSj64u3uEsx"
"10","paper parasol","No","870",217,"Brown","Green","1x1",NA,"Nook's Cranny",NA,"1.0.0","Yes","For sale","UmbrellaBangasa0",7178,"Brvfu2wmEsgfpsfe6"
"11","petal parasol","No","1590",397,"White","Yellow","1x1",NA,"Nook's Cranny","Available in Nook's Cranny (upgraded only)","1.0.0","Yes","For sale","UmbrellaMargaret0",7181,"5qqATjxvMpMHmcDns"
